rank_stage1,var_idx,best_iter,stage1_obj,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
84,649,0,1014.0145279065823,1014.0145279065823,1014.0145279065823,1014.0145279065823,design_optimisation\optim_out_v3_3\designs\cand_rank0084.csv
85,468,0,1014.0240852403585,1014.0240852403585,1014.0240852403585,1014.0240852403585,design_optimisation\optim_out_v3_3\designs\cand_rank0085.csv
86,579,0,1014.0242486729326,1014.0242486729326,1014.0242486729326,1014.0242486729326,design_optimisation\optim_out_v3_3\designs\cand_rank0086.csv
87,174,0,1014.0246818596701,1014.0246818596701,1014.0246818596701,1014.0246818596701,design_optimisation\optim_out_v3_3\designs\cand_rank0087.csv
88,581,0,1014.0258488614612,1014.0258488614612,1014.0258488614612,1014.0258488614612,design_optimisation\optim_out_v3_3\designs\cand_rank0088.csv
89,153,0,1014.0346654596595,1014.0346654596595,1014.0346654596595,1014.0346654596595,design_optimisation\optim_out_v3_3\designs\cand_rank0089.csv
90,69,0,1014.0419528255757,1014.0419528255757,1014.0419528255757,1014.0419528255757,design_optimisation\optim_out_v3_3\designs\cand_rank0090.csv
91,56,0,1014.0452693397888,1014.0452693397888,1014.0452693397888,1014.0452693397888,design_optimisation\optim_out_v3_3\designs\cand_rank0091.csv
92,588,0,1014.0464219053976,1014.0464219053976,1014.0464219053976,1014.0464219053976,design_optimisation\optim_out_v3_3\designs\cand_rank0092.csv
93,84,0,1014.0468132393482,1014.0468132393482,1014.0468132393482,1014.0468132393482,design_optimisation\optim_out_v3_3\designs\cand_rank0093.csv
94,491,0,1014.047168628291,1014.047168628291,1014.047168628291,1014.047168628291,design_optimisation\optim_out_v3_3\designs\cand_rank0094.csv
95,47,0,1014.0516566440555,1014.0516566440555,1014.0516566440555,1014.0516566440555,design_optimisation\optim_out_v3_3\designs\cand_rank0095.csv
96,488,0,1014.0608585620405,1014.0608585620405,1014.0608585620405,1014.0608585620405,design_optimisation\optim_out_v3_3\designs\cand_rank0096.csv
97,637,0,1014.0638372245476,1014.0638372245476,1014.0638372245476,1014.0638372245476,design_optimisation\optim_out_v3_3\designs\cand_rank0097.csv
98,415,0,1014.0639717521236,1014.0639717521236,1014.0639717521236,1014.0639717521236,design_optimisation\optim_out_v3_3\designs\cand_rank0098.csv
99,575,0,1014.0660591989799,1014.0660591989799,1014.0660591989799,1014.0660591989799,design_optimisation\optim_out_v3_3\designs\cand_rank0099.csv
