var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
649,1,1014.0145279065823,1014.0145279065823,1014.0145279065823,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0649_iter0000_d000649.csv,0,1014.0145279065823
468,1,1014.0240852403585,1014.0240852403585,1014.0240852403585,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0468_iter0000_d000468.csv,0,1014.0240852403585
579,1,1014.0242486729326,1014.0242486729326,1014.0242486729326,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0579_iter0000_d000579.csv,0,1014.0242486729326
174,1,1014.0246818596701,1014.0246818596701,1014.0246818596701,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0174_iter0000_d000174.csv,0,1014.0246818596701
581,1,1014.0258488614612,1014.0258488614612,1014.0258488614612,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0581_iter0000_d000581.csv,0,1014.0258488614612
153,1,1014.0346654596595,1014.0346654596595,1014.0346654596595,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0153_iter0000_d000153.csv,0,1014.0346654596595
69,1,1014.0419528255757,1014.0419528255757,1014.0419528255757,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0069_iter0000_d000069.csv,0,1014.0419528255757
56,1,1014.0452693397888,1014.0452693397888,1014.0452693397888,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0056_iter0000_d000056.csv,0,1014.0452693397888
588,1,1014.0464219053976,1014.0464219053976,1014.0464219053976,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0588_iter0000_d000588.csv,0,1014.0464219053976
84,1,1014.0468132393482,1014.0468132393482,1014.0468132393482,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0084_iter0000_d000084.csv,0,1014.0468132393482
491,1,1014.047168628291,1014.047168628291,1014.047168628291,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0491_iter0000_d000491.csv,0,1014.047168628291
47,1,1014.0516566440555,1014.0516566440555,1014.0516566440555,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0047_iter0000_d000047.csv,0,1014.0516566440555
