var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
756,1,1012.2711092011596,1012.2711092011596,1012.2711092011596,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0756_iter0000_d000756.csv,0,1012.2711092011596
277,1,1012.2743819513826,1012.2743819513826,1012.2743819513826,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0277_iter0000_d000277.csv,0,1012.2743819513826
512,1,1012.2748008642053,1012.2748008642053,1012.2748008642053,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0512_iter0000_d000512.csv,0,1012.2748008642053
2253,1,1012.2805140295748,1012.2805140295748,1012.2805140295748,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2253_iter0000_d002253.csv,0,1012.2805140295748
1971,1,1012.2840307250174,1012.2840307250174,1012.2840307250174,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1971_iter0000_d001971.csv,0,1012.2840307250174
1993,1,1012.284423329018,1012.284423329018,1012.284423329018,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1993_iter0000_d001993.csv,0,1012.284423329018
1932,1,1012.2864886139984,1012.2864886139984,1012.2864886139984,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1932_iter0000_d001932.csv,0,1012.2864886139984
1686,1,1012.2866158269796,1012.2866158269796,1012.2866158269796,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1686_iter0000_d001686.csv,0,1012.2866158269796
2349,1,1012.2867946825919,1012.2867946825919,1012.2867946825919,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2349_iter0000_d002349.csv,0,1012.2867946825919
1271,1,1012.2868867208059,1012.2868867208059,1012.2868867208059,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1271_iter0000_d001271.csv,0,1012.2868867208059
2228,1,1012.289896753264,1012.289896753264,1012.289896753264,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2228_iter0000_d002228.csv,0,1012.289896753264
1414,1,1012.2908024276687,1012.2908024276687,1012.2908024276687,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1414_iter0000_d001414.csv,0,1012.2908024276687
1517,1,1012.2908390688945,1012.2908390688945,1012.2908390688945,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1517_iter0000_d001517.csv,0,1012.2908390688945
672,1,1012.2914631114265,1012.2914631114265,1012.2914631114265,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0672_iter0000_d000672.csv,0,1012.2914631114265
618,1,1012.2915687472154,1012.2915687472154,1012.2915687472154,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0618_iter0000_d000618.csv,0,1012.2915687472154
2277,1,1012.2920674833681,1012.2920674833681,1012.2920674833681,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2277_iter0000_d002277.csv,0,1012.2920674833681
1738,1,1012.2924337062226,1012.2924337062226,1012.2924337062226,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1738_iter0000_d001738.csv,0,1012.2924337062226
1907,1,1012.2926531044583,1012.2926531044583,1012.2926531044583,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1907_iter0000_d001907.csv,0,1012.2926531044583
2287,1,1012.2937299579085,1012.2937299579085,1012.2937299579085,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2287_iter0000_d002287.csv,0,1012.2937299579085
1411,1,1012.2939890358838,1012.2939890358838,1012.2939890358838,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1411_iter0000_d001411.csv,0,1012.2939890358838
2368,1,1012.2941346362899,1012.2941346362899,1012.2941346362899,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2368_iter0000_d002368.csv,0,1012.2941346362899
2042,1,1012.2942140064888,1012.2942140064888,1012.2942140064888,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2042_iter0000_d002042.csv,0,1012.2942140064888
1817,1,1012.2947826889648,1012.2947826889648,1012.2947826889648,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1817_iter0000_d001817.csv,0,1012.2947826889648
